projet;poste;categorie;montant_previsionnel;description;financeur;organisation_responsable;phase;tache;montant_tache;annee;valorisation;statut;commentaire
CEM Liban — Coordination et actions communes;Actions de sensibilisation en Yvelines pour le grand public et les établissements scolaires;projet;500;;MEAE;YCID;Action 3 - Renforcement des dynamiques locales d’attractivité touristique et de promotion du sport nature;;;2026;;prevue;Justificatifs attendus : factures petit matériel — Décaissement : YCID — centralisé pour permettre gros évènement
CEM Liban — Coordination et actions communes;Actions de sensibilisation en Yvelines pour le grand public et les établissements scolaires;projet;500;;MEAE;YCID;Action 3 - Renforcement des dynamiques locales d’attractivité touristique et de promotion du sport nature;;;2027;;prevue;Justificatifs attendus : factures petit matériel — Décaissement : YCID — centralisé pour permettre gros évènement
CEM Liban — Coordination et actions communes;Echange d'expériences : immersion des partenaires yvelinois dans les communes libanaises (Transport, hébergement, nourriture);projet;4000;;MEAE;YCID;"Autres dépenses (suivi ; coordination ; coopération)";;;2026;;prevue;Justificatifs attendus : billets d'avion, remboursement de frais — Décaissement : YCID
CEM Liban — Coordination et actions communes;Echange d'expériences : immersion des partenaires yvelinois dans les communes libanaises (Transport, hébergement, nourriture);projet;4000;;MEAE;YCID;"Autres dépenses (suivi ; coordination ; coopération)";;;2027;;prevue;Justificatifs attendus : billets d'avion, remboursement de frais — Décaissement : YCID
CEM Liban — Coordination et actions communes;Echange d'experiences : immersion des partenaires libanais dans les communes yvelinoises (Transport, hébergement, nourriture);projet;4000;;MEAE;YCID;"Autres dépenses (suivi ; coordination ; coopération)";;;2026;;prevue;Justificatifs attendus : billets d'avion, remboursement de frais — Décaissement : YCID
CEM Liban — Coordination et actions communes;Echange d'experiences : immersion des partenaires libanais dans les communes yvelinoises (Transport, hébergement, nourriture);projet;4000;;MEAE;YCID;"Autres dépenses (suivi ; coordination ; coopération)";;;2027;;prevue;Justificatifs attendus : billets d'avion, remboursement de frais — Décaissement : YCID
CEM Liban — Coordination et actions communes;Mission de suivi et accompagnement des communes - YCID;projet;2550;;YCID;YCID;"Autres dépenses (suivi ; coordination ; coopération)";;;2026;;prevue;Justificatifs attendus : billets d'avion, remboursement de frais — Décaissement : YCID
CEM Liban — Coordination et actions communes;Mission de suivi et accompagnement des communes - YCID;projet;1000;;YCID;YCID;"Autres dépenses (suivi ; coordination ; coopération)";;;2026;oui;prevue;Justificatifs attendus : billets d'avion, remboursement de frais — Décaissement : YCID
CEM Liban — Coordination et actions communes;Mission de suivi et accompagnement des communes - YCID;projet;2550;;YCID;YCID;"Autres dépenses (suivi ; coordination ; coopération)";;;2027;;prevue;Justificatifs attendus : billets d'avion, remboursement de frais — Décaissement : YCID
CEM Liban — Coordination et actions communes;Mission de suivi et accompagnement des communes - YCID;projet;1000;;YCID;YCID;"Autres dépenses (suivi ; coordination ; coopération)";;;2027;oui;prevue;Justificatifs attendus : billets d'avion, remboursement de frais — Décaissement : YCID
CEM Liban — Coordination et actions communes;Communication autour du projet (prestation photo, vidéo);projet;1500;;MEAE;YCID;"Autres dépenses (suivi ; coordination ; coopération)";;;2026;;prevue;Justificatifs attendus : devis+factures — Décaissement : YCID — centralisé pour permettre reportage/documentaire mutualisé
CEM Liban — Coordination et actions communes;Communication autour du projet (prestation photo, vidéo);projet;1500;;MEAE;YCID;"Autres dépenses (suivi ; coordination ; coopération)";;;2027;;prevue;Justificatifs attendus : devis+factures — Décaissement : YCID — centralisé pour permettre reportage/documentaire mutualisé
