projet;poste;categorie;montant_previsionnel;description;financeur;organisation_responsable;phase;tache;montant_tache;annee;valorisation;statut;commentaire
CEM Liban — Triade Jouy-en-Josas · Jeïta · Comité de Jumelage;Coordination et encadrement technique des chantiers-jeunes de rénovation;projet;3000;;MEAE;Comité de Jumelage de Jouy-en-Josas;Action 1 : Valorisation et rénovation du patrimoine naturel local à Jeita;;;2026;;prevue;Justificatifs attendus : devis+facture présetation, défraiement — Décaissement : Comité de Jumelage puis Jeïta
CEM Liban — Triade Jouy-en-Josas · Jeïta · Comité de Jumelage;Travaux d'aménagement (défrichage, nettoyage, terrassement, nivellement);projet;6700;;YCID;Comité de Jumelage de Jouy-en-Josas;Action 1 : Valorisation et rénovation du patrimoine naturel local à Jeita;;;2026;;prevue;Justificatifs attendus : devis+facture matériel — Décaissement : Comité de Jumelage puis Jeïta — Détail au classeur : =8800-2100
CEM Liban — Triade Jouy-en-Josas · Jeïta · Comité de Jumelage;Travaux d'aménagement (défrichage, nettoyage, terrassement, nivellement);projet;2000;;Commune de Jouy-en-Josas;Comité de Jumelage de Jouy-en-Josas;Action 1 : Valorisation et rénovation du patrimoine naturel local à Jeita;;;2026;;prevue;Justificatifs attendus : devis+facture matériel — Décaissement : Comité de Jumelage puis Jeïta
CEM Liban — Triade Jouy-en-Josas · Jeïta · Comité de Jumelage;Travaux d'aménagement (défrichage, nettoyage, terrassement, nivellement);projet;100;;Comité de Jumelage de Jouy-en-Josas;;Action 1 : Valorisation et rénovation du patrimoine naturel local à Jeita;;;2026;;prevue;
CEM Liban — Triade Jouy-en-Josas · Jeïta · Comité de Jumelage;Formations de jeunes guides libanais;projet;3000;;MEAE;Comité de Jumelage de Jouy-en-Josas;Action 1 : Valorisation et rénovation du patrimoine naturel local à Jeita;;;2026;;prevue;Justificatifs attendus : devis+facture préstation, défraiement — Décaissement : Comité de Jumelage puis Jeïta
CEM Liban — Triade Jouy-en-Josas · Jeïta · Comité de Jumelage;Formations de jeunes guides libanais;projet;3000;;MEAE;Comité de Jumelage de Jouy-en-Josas;Action 1 : Valorisation et rénovation du patrimoine naturel local à Jeita;;;2027;;prevue;Justificatifs attendus : devis+facture préstation, défraiement — Décaissement : Comité de Jumelage puis Jeïta
CEM Liban — Triade Jouy-en-Josas · Jeïta · Comité de Jumelage;Cérémonie avec organisation d'une randonnée d'inauguration du sentier;projet;1500;;Municipalité de Jeïta;;Action 1 : Valorisation et rénovation du patrimoine naturel local à Jeita;;;2026;oui;prevue;Ligne sans code de gestion au classeur — rattachement déduit du bailleur
CEM Liban — Triade Jouy-en-Josas · Jeïta · Comité de Jumelage;Structuration d'une offre de randonnée cohérente, diagnostic pour la création d'un office de tourisme local;projet;3000;;MEAE;Comité de Jumelage de Jouy-en-Josas;Action 1 : Valorisation et rénovation du patrimoine naturel local à Jeita;;;2026;;prevue;Justificatifs attendus : devis+facture prestation/étude — Décaissement : Comité de Jumelage puis Jeïta
CEM Liban — Triade Jouy-en-Josas · Jeïta · Comité de Jumelage;Echanges de jeunes : groupes de Jeita à Azour - Transport (3x20 jeunes);projet;600;Base de calcul : 300 e / bus / 3 bus;Comité de Jumelage de Jouy-en-Josas;Comité de Jumelage de Jouy-en-Josas;Action 2 : Sensibilisation des jeunes à l'environnement par des visites réciproques;;;2026;;prevue;Justificatifs attendus : devis+factures transport — Décaissement : Comité de Jumelage puis Jeïta
CEM Liban — Triade Jouy-en-Josas · Jeïta · Comité de Jumelage;Echanges de jeunes : groupes de Jeita à Azour - Transport (3x20 jeunes);projet;300;Base de calcul : 300 e / bus / 3 bus;Comité de Jumelage de Jouy-en-Josas;Comité de Jumelage de Jouy-en-Josas;Action 2 : Sensibilisation des jeunes à l'environnement par des visites réciproques;;;2027;;prevue;Justificatifs attendus : devis+factures transport — Décaissement : Comité de Jumelage puis Jeïta
CEM Liban — Triade Jouy-en-Josas · Jeïta · Comité de Jumelage;Echanges de jeunes : groupes d'Azour à Jeita - Animation, hébergement&nourriture en camping;projet;1800;Base de calcul : 900 euros / session / 3 sessions;MEAE;Comité de Jumelage de Jouy-en-Josas;Action 2 : Sensibilisation des jeunes à l'environnement par des visites réciproques;;;2026;;prevue;Justificatifs attendus : devis+factures prestation et logement — Décaissement : Comité de Jumelage puis Jeïta
CEM Liban — Triade Jouy-en-Josas · Jeïta · Comité de Jumelage;Echanges de jeunes : groupes d'Azour à Jeita - Animation, hébergement&nourriture en camping;projet;900;Base de calcul : 900 euros / session / 3 sessions;MEAE;Comité de Jumelage de Jouy-en-Josas;Action 2 : Sensibilisation des jeunes à l'environnement par des visites réciproques;;;2027;;prevue;Justificatifs attendus : devis+factures prestation et logement — Décaissement : Comité de Jumelage puis Jeïta
CEM Liban — Triade Jouy-en-Josas · Jeïta · Comité de Jumelage;Organisation et animation des visites de terrain par un spécialiste;projet;450;Base de calcul : 150 euros par session, 3 sessions à Azour et 3 sessions à Jeita;MEAE;;Action 2 : Sensibilisation des jeunes à l'environnement par des visites réciproques;;;2026;;prevue;"Justificatifs attendus : devis+factures prestation — Décaissement : LEY puis Azour / Comité de Jumelage puis Jeïta — Ligne partagée entre les deux triades — 450 € chacune ; l'année portée par chaque triade est un choix de transposition"
CEM Liban — Triade Jouy-en-Josas · Jeïta · Comité de Jumelage;"Organisation par le Conseil municipal des jeunes d'une rénovation du sentier à Jouy-en-Josas (petits équipements ; nourriture ; boissons)";projet;500;;MEAE;Commune de Jouy-en-Josas;Action 2 : Sensibilisation des jeunes à l'environnement par des visites réciproques;;;2026;;prevue;Justificatifs attendus : factures petit matériel et restauration — Décaissement : Jouy-en-Josas
CEM Liban — Triade Jouy-en-Josas · Jeïta · Comité de Jumelage;Actions de sensibilisation en Yvelines pour le grand public et les établissements scolaires;projet;1000;;Commune de Jouy-en-Josas;Comité de Jumelage de Jouy-en-Josas;Action 3 - Renforcement des dynamiques locales d’attractivité touristique et de promotion du sport nature;;;2027;;prevue;Décaissement : Comité de Jumelage puis Jeïta
CEM Liban — Triade Jouy-en-Josas · Jeïta · Comité de Jumelage;Réunions de travail et COPIL (défraiement transport, hébergement, nourriture, connexion internet etc.);projet;50;;Département des Yvelines (CD78);;"Autres dépenses (suivi ; coordination ; coopération)";;;2025;;prevue;Justificatifs attendus : remboursement de frais, devis+factures — Décaissement : LEY puis Azour / Comité de Jumelage puis Jeïta — Ligne partagée entre les deux triades — moitié chacune (répartition du classeur) — réparti pour facilité logistique
CEM Liban — Triade Jouy-en-Josas · Jeïta · Comité de Jumelage;Réunions de travail et COPIL (défraiement transport, hébergement, nourriture, connexion internet etc.);projet;250;;Département des Yvelines (CD78);;"Autres dépenses (suivi ; coordination ; coopération)";;;2026;;prevue;Justificatifs attendus : remboursement de frais, devis+factures — Décaissement : LEY puis Azour / Comité de Jumelage puis Jeïta — Ligne partagée entre les deux triades — moitié chacune (répartition du classeur) — réparti pour facilité logistique
CEM Liban — Triade Jouy-en-Josas · Jeïta · Comité de Jumelage;Réunions de travail et COPIL (défraiement transport, hébergement, nourriture, connexion internet etc.);projet;250;;Département des Yvelines (CD78);;"Autres dépenses (suivi ; coordination ; coopération)";;;2027;;prevue;Justificatifs attendus : remboursement de frais, devis+factures — Décaissement : LEY puis Azour / Comité de Jumelage puis Jeïta — Ligne partagée entre les deux triades — moitié chacune (répartition du classeur) — réparti pour facilité logistique
CEM Liban — Triade Jouy-en-Josas · Jeïta · Comité de Jumelage;Mise à disposition (temps de travail et ressources) - Comité de Jumelage de Jouy-en-Josas;projet;500;;Comité de Jumelage de Jouy-en-Josas;;"Autres dépenses (suivi ; coordination ; coopération)";;;2025;oui;prevue;Ligne sans code de gestion au classeur — rattachement déduit du bailleur
CEM Liban — Triade Jouy-en-Josas · Jeïta · Comité de Jumelage;Mise à disposition (temps de travail et ressources) - Comité de Jumelage de Jouy-en-Josas;projet;500;;Comité de Jumelage de Jouy-en-Josas;;"Autres dépenses (suivi ; coordination ; coopération)";;;2026;oui;prevue;Ligne sans code de gestion au classeur — rattachement déduit du bailleur
CEM Liban — Triade Jouy-en-Josas · Jeïta · Comité de Jumelage;Mise à disposition (temps de travail et ressources) - Comité de Jumelage de Jouy-en-Josas;projet;500;;Comité de Jumelage de Jouy-en-Josas;;"Autres dépenses (suivi ; coordination ; coopération)";;;2027;oui;prevue;Ligne sans code de gestion au classeur — rattachement déduit du bailleur
