projet;poste;categorie;montant_previsionnel;description;financeur;organisation_responsable;phase;tache;montant_tache;annee;valorisation;statut;commentaire
CEM Liban — Triade Villepreux · Azour · LEY;Diagnostic terrain, conception des maquettes;projet;3000;;Libanais en Yvelines (LEY);Libanais en Yvelines (LEY);Action 1 : Valorisation et rénovation du patrimoine naturel local à Azour;;;2025;;prevue;Justificatifs attendus : devis+facture prestation — Décaissement : LEY puis Azour
CEM Liban — Triade Villepreux · Azour · LEY;Aménagement du site principal du Shir;investissement;8200;;Département des Yvelines (CD78);Libanais en Yvelines (LEY);Action 1 : Valorisation et rénovation du patrimoine naturel local à Azour;;;2026;;prevue;Justificatifs attendus : devis+facture matériel + prestation — Décaissement : LEY puis Azour
CEM Liban — Triade Villepreux · Azour · LEY;Dotation d'équipement pour la réalisation des sensibilisations (panneaux explicatifs, tablettes, etc.);investissement;3200;;YCID;Libanais en Yvelines (LEY);Action 1 : Valorisation et rénovation du patrimoine naturel local à Azour;;;2026;;prevue;Justificatifs attendus : devis+facture matériel — Décaissement : LEY puis Azour
CEM Liban — Triade Villepreux · Azour · LEY;Main d’œuvre et suivi du paysagiste;projet;1000;;MEAE;Libanais en Yvelines (LEY);Action 1 : Valorisation et rénovation du patrimoine naturel local à Azour;;;2026;;prevue;Justificatifs attendus : devis+facture prestation, contrat de travail — Décaissement : LEY puis Azour
CEM Liban — Triade Villepreux · Azour · LEY;Aménagement du chemin Shir el Joub – Route vers Beba / Bteddine El Lockh;investissement;1100;• Aménagement, praticabilité et sécurisation du chemin de randonnée • Travail de balisage, nettoyage et mise en sécurité;Commune de Villepreux;Libanais en Yvelines (LEY);Action 1 : Valorisation et rénovation du patrimoine naturel local à Azour;;;2026;;prevue;Justificatifs attendus : devis+facture matériel — Décaissement : LEY puis Azour
CEM Liban — Triade Villepreux · Azour · LEY;Extension vers la vallée du Bisri;investissement;2750;• Aménagement du sentier (repos, panneaux d’information) • Développement d'activités de randonnée en quad et en vélo;Département des Yvelines (CD78);Libanais en Yvelines (LEY);Action 1 : Valorisation et rénovation du patrimoine naturel local à Azour;;;2026;;prevue;Justificatifs attendus : devis+facture matériel — Décaissement : LEY puis Azour
CEM Liban — Triade Villepreux · Azour · LEY;Site de camping ‘El Abo - Le Cave’ – Bteddine El Lockh;investissement;2950;(Aménagement des sentiers, toilettes, point d'eau);Département des Yvelines (CD78);Libanais en Yvelines (LEY);Action 1 : Valorisation et rénovation du patrimoine naturel local à Azour;;;2026;;prevue;Justificatifs attendus : devis+facture matériel — Décaissement : LEY puis Azour
CEM Liban — Triade Villepreux · Azour · LEY;Formations de jeunes guides libanais;projet;3000;;MEAE;Libanais en Yvelines (LEY);Action 1 : Valorisation et rénovation du patrimoine naturel local à Azour;;;2026;;prevue;Justificatifs attendus : devis+facture présetation, défraiement — Décaissement : LEY puis Azour
CEM Liban — Triade Villepreux · Azour · LEY;Formations de jeunes guides libanais;projet;1500;;MEAE;Libanais en Yvelines (LEY);Action 1 : Valorisation et rénovation du patrimoine naturel local à Azour;;;2027;;prevue;Justificatifs attendus : devis+facture présetation, défraiement — Décaissement : LEY puis Azour
CEM Liban — Triade Villepreux · Azour · LEY;Structuration d'une offre de randonnée cohérente avec maping, topographie, renforcement des offices touristiques locaux;projet;1450;;MEAE;Libanais en Yvelines (LEY);Action 1 : Valorisation et rénovation du patrimoine naturel local à Azour;;;2026;;prevue;Justificatifs attendus : devis+facture prestation/étude — Décaissement : LEY puis Azour
CEM Liban — Triade Villepreux · Azour · LEY;Structuration d'une offre de randonnée cohérente avec maping, topographie, renforcement des offices touristiques locaux;projet;1450;;MEAE;Libanais en Yvelines (LEY);Action 1 : Valorisation et rénovation du patrimoine naturel local à Azour;;;2027;;prevue;Justificatifs attendus : devis+facture prestation/étude — Décaissement : LEY puis Azour
CEM Liban — Triade Villepreux · Azour · LEY;Echanges de jeunes : groupes de Jeita à Azour - Animation, hébergement & nourriture en camping;projet;1800;;MEAE;Libanais en Yvelines (LEY);Action 2 : Sensibilisation des jeunes à l'environnement par des visites réciproques;;;2026;;prevue;Justificatifs attendus : devis+factures prestation et logement — Décaissement : LEY puis Azour
CEM Liban — Triade Villepreux · Azour · LEY;Echanges de jeunes : groupes de Jeita à Azour - Animation, hébergement & nourriture en camping;projet;900;;MEAE;Libanais en Yvelines (LEY);Action 2 : Sensibilisation des jeunes à l'environnement par des visites réciproques;;;2027;;prevue;Justificatifs attendus : devis+factures prestation et logement — Décaissement : LEY puis Azour
CEM Liban — Triade Villepreux · Azour · LEY;Echanges de jeunes: groupes d'Azour à Jeita - Transport (3x20 jeunes);projet;600;;Commune de Villepreux;Libanais en Yvelines (LEY);Action 2 : Sensibilisation des jeunes à l'environnement par des visites réciproques;;;2026;;prevue;Justificatifs attendus : devis+factures transport — Décaissement : LEY puis Azour
CEM Liban — Triade Villepreux · Azour · LEY;Echanges de jeunes: groupes d'Azour à Jeita - Transport (3x20 jeunes);projet;300;;Commune de Villepreux;Libanais en Yvelines (LEY);Action 2 : Sensibilisation des jeunes à l'environnement par des visites réciproques;;;2027;;prevue;Justificatifs attendus : devis+factures transport — Décaissement : LEY puis Azour
CEM Liban — Triade Villepreux · Azour · LEY;Organisation et animation des visites de terrain par un spécialiste;projet;450;;MEAE;Libanais en Yvelines (LEY);Action 2 : Sensibilisation des jeunes à l'environnement par des visites réciproques;;;2027;;prevue;Justificatifs attendus : devis+factures prestation — Décaissement : LEY puis Azour / Comité de Jumelage puis Jeïta
