projet;phase;date_debut;date_fin;statut
CEM Liban — Triade Villepreux · Azour · LEY;Action 1 : Valorisation et rénovation du patrimoine naturel local à Azour;;;a_venir
CEM Liban — Triade Villepreux · Azour · LEY;Action 2 : Sensibilisation des jeunes à l'environnement par des visites réciproques;;;a_venir
CEM Liban — Triade Villepreux · Azour · LEY;Action 3 - Renforcement des dynamiques locales d’attractivité touristique et de promotion du sport nature;;;a_venir
CEM Liban — Triade Villepreux · Azour · LEY;"Autres dépenses (suivi ; coordination ; coopération)";;;a_venir
CEM Liban — Triade Jouy-en-Josas · Jeïta · Comité de Jumelage;Action 1 : Valorisation et rénovation du patrimoine naturel local à Jeita;;;a_venir
CEM Liban — Triade Jouy-en-Josas · Jeïta · Comité de Jumelage;Action 2 : Sensibilisation des jeunes à l'environnement par des visites réciproques;;;a_venir
CEM Liban — Triade Jouy-en-Josas · Jeïta · Comité de Jumelage;Action 3 - Renforcement des dynamiques locales d’attractivité touristique et de promotion du sport nature;;;a_venir
CEM Liban — Triade Jouy-en-Josas · Jeïta · Comité de Jumelage;"Autres dépenses (suivi ; coordination ; coopération)";;;a_venir
CEM Liban — Coordination et actions communes;Action 3 - Renforcement des dynamiques locales d’attractivité touristique et de promotion du sport nature;;;a_venir
CEM Liban — Coordination et actions communes;"Autres dépenses (suivi ; coordination ; coopération)";;;a_venir
